  PID TTY          TIME CMD
11873 ?        00:00:00 gvfs-mtp-volume
11879 ?        00:00:00 cinnamon-launch
11894 ?        00:00:00 pulseaudio
11915 ?        00:00:36 cinnamon
11926 ?        00:00:00 csd-printer
11934 ?        00:00:00 abrt-applet
11936 ?        00:00:00 nm-applet
11938 ?        00:00:00 tracker-miner-u
11940 ?        00:00:00 blueman-applet
11947 ?        00:00:00 tracker-store
11952 ?        00:00:00 tracker-miner-a
11958 ?        00:00:00 zeitgeist-datah
11967 ?        00:00:00 tracker-miner-f
11974 ?        00:00:03 gnome-software
11977 ?        00:00:02 nemo
11985 ?        00:00:00 cinnamon-killer
11989 ?        00:00:00 polkit-gnome-au
12004 ?        00:00:00 zeitgeist-daemo
12007 ?        00:00:00 tracker-extract
12058 ?        00:00:00 zeitgeist-fts
12082 ?        00:00:00 gvfsd-trash
12145 ?        00:00:00 abrt-dbus
12169 ?        00:00:00 gvfsd-metadata
12239 ?        00:00:00 cinnamon-screen
12407 ?        00:00:00 gconfd-2
12512 ?        00:00:00 gvfsd-network
12569 ?        00:00:00 gvfsd-dnssd
12753 ?        00:00:00 kworker/3:1
12774 ?        00:00:00 kworker/u8:1
12818 ?        00:00:00 kworker/u8:3
12882 ?        00:01:30 firefox
12959 ?        00:00:00 kworker/0:0
13039 ?        00:00:00 kworker/3:0
13040 ?        00:00:00 kworker/2:1
13048 ?        00:00:00 kworker/1:2
13100 ?        00:00:00 kworker/2:0
13107 ?        00:00:00 kworker/0:1
13108 ?        00:00:00 kworker/0:2
13208 ?        00:00:00 kworker/u8:0
13215 ?        00:00:00 kworker/2:2
13218 pts/0    00:00:00 ps
